instrument_expression,scenario_id,scenario_label,decomposition_axis,bucket,trade_count,total_gross_pnl_cash,total_fees_cash,total_slippage_cash,total_net_pnl_cash,average_net_trade_cash,median_net_trade_cash,win_rate,profit_factor,max_drawdown,largest_win,largest_loss,max_consecutive_losers
MGC,MGC_DOUBLE_SLIPPAGE,MGC double slippage,direction,LONG,4965,38382.315,7447.5,49650.0,-18715.185,-3.7694,-2.5,46.7472,0.8082,23631.575,595.5,-591.2333,16
MGC,MGC_DOUBLE_SLIPPAGE,MGC double slippage,exit_reason,stop,704,-42249.375,1056.0,7040.0,-50345.375,-71.5133,-50.8354,0.0,0.0,50345.375,-17.05,-591.2333,704
MGC,MGC_DOUBLE_SLIPPAGE,MGC double slippage,exit_reason,stop_first_conflict,4,-85.95,6.0,40.0,-131.95,-32.9875,-31.5312,0.0,0.0,131.95,-25.8667,-43.0208,4
MGC,MGC_DOUBLE_SLIPPAGE,MGC double slippage,exit_reason,target,1855,86486.64,2782.5,18550.0,65154.14,35.1235,21.26,95.7951,487.0315,11.16,423.5933,-5.0,3
MGC,MGC_DOUBLE_SLIPPAGE,MGC double slippage,exit_reason,time_stop,2402,-5769.0,3603.0,24020.0,-33392.0,-13.9017,-12.5,22.6478,0.2889,33540.0,595.5,-417.5,45
MGC,MGC_CONSERVATIVE_LIVE_PROXY,MGC conservative live proxy,session,ASIA,1947,16334.8325,2920.5,19470.0,-6055.6675,-3.1103,-3.5,45.5059,0.8364,10134.7792,595.5,-553.7417,14
MGC,MGC_CONSERVATIVE_LIVE_PROXY,MGC conservative live proxy,session,US,3018,22047.4825,4527.0,30180.0,-12659.5175,-4.1947,-2.5,47.548,0.7909,14065.9875,423.5933,-591.2333,13
MGC,MGC_CONSERVATIVE_LIVE_PROXY,MGC conservative live proxy,year,2024,2095,8911.1417,3142.5,20950.0,-15181.3583,-7.2465,-6.5,39.3317,0.4584,15188.065,89.94,-157.5,16
MGC,MGC_CONSERVATIVE_LIVE_PROXY,MGC conservative live proxy,year,2025,2266,18313.9925,3399.0,22660.0,-7745.0075,-3.4179,1.5,51.1474,0.8209,8453.4433,278.5,-293.7792,8
MGC,MGC_CONSERVATIVE_LIVE_PROXY,MGC conservative live proxy,year,2026,604,11157.1808,906.0,6040.0,4211.1808,6.9722,18.5,55.9603,1.1601,2458.2383,595.5,-591.2333,9
MGC,MGC_CONSERVATIVE_LIVE_PROXY,MGC conservative live proxy,direction,LONG,4965,38382.315,7447.5,49650.0,-18715.185,-3.7694,-2.5,46.7472,0.8082,23631.575,595.5,-591.2333,16
MGC,MGC_CONSERVATIVE_LIVE_PROXY,MGC conservative live proxy,exit_reason,stop,704,-42249.375,1056.0,7040.0,-50345.375,-71.5133,-50.8354,0.0,0.0,50345.375,-17.05,-591.2333,704
MGC,MGC_CONSERVATIVE_LIVE_PROXY,MGC conservative live proxy,exit_reason,stop_first_conflict,4,-85.95,6.0,40.0,-131.95,-32.9875,-31.5312,0.0,0.0,131.95,-25.8667,-43.0208,4
MGC,MGC_CONSERVATIVE_LIVE_PROXY,MGC conservative live proxy,exit_reason,target,1855,86486.64,2782.5,18550.0,65154.14,35.1235,21.26,95.7951,487.0315,11.16,423.5933,-5.0,3
MGC,MGC_CONSERVATIVE_LIVE_PROXY,MGC conservative live proxy,exit_reason,time_stop,2402,-5769.0,3603.0,24020.0,-33392.0,-13.9017,-12.5,22.6478,0.2889,33540.0,595.5,-417.5,45
GC,GC_GROSS_ZERO_COST,GC gross / zero cost,session,ASIA,1963,188217.05,0.0,0.0,188217.05,95.8823,98.6667,60.8253,1.7554,7266.0833,3944.0667,-4666.3333,7
GC,GC_GROSS_ZERO_COST,GC gross / zero cost,session,US,2549,144344.3667,0.0,0.0,144344.3667,56.6278,80.0,58.5328,1.3523,17544.2583,3758.2,-5780.9583,9
GC,GC_GROSS_ZERO_COST,GC gross / zero cost,year,2024,1887,81125.8417,0.0,0.0,81125.8417,42.992,60.0,59.0355,1.5694,4295.6,1024.6,-1440.0,7
GC,GC_GROSS_ZERO_COST,GC gross / zero cost,year,2025,2053,158308.6167,0.0,0.0,158308.6167,77.1109,129.2667,59.5226,1.5346,9864.8917,2900.0,-2827.125,8
GC,GC_GROSS_ZERO_COST,GC gross / zero cost,year,2026,572,93126.9583,0.0,0.0,93126.9583,162.8094,288.4,61.1888,1.4228,23941.1667,3944.0667,-5780.9583,7
GC,GC_GROSS_ZERO_COST,GC gross / zero cost,direction,LONG,4512,332561.4167,0.0,0.0,332561.4167,73.706,90.0,59.5301,1.5047,23941.1667,3944.0667,-5780.9583,8
GC,GC_GROSS_ZERO_COST,GC gross / zero cost,exit_reason,stop,640,-405697.5833,0.0,0.0,-405697.5833,-633.9025,-420.9792,0.0,0.0,405697.5833,-53.2917,-5780.9583,640
GC,GC_GROSS_ZERO_COST,GC gross / zero cost,exit_reason,stop_first_conflict,1,-283.3333,0.0,0.0,-283.3333,-283.3333,-283.3333,0.0,0.0,283.3333,-283.3333,-283.3333,1
GC,GC_GROSS_ZERO_COST,GC gross / zero cost,exit_reason,target,1671,779252.3333,0.0,0.0,779252.3333,466.3389,326.4667,100.0,779252.3333,0.0,3944.0667,65.0,0
GC,GC_GROSS_ZERO_COST,GC gross / zero cost,exit_reason,time_stop,2200,-40710.0,0.0,0.0,-40710.0,-18.5045,-10.0,46.1364,0.839,43640.0,3250.0,-4620.0,11
GC,GC_CURRENT_FRAMEWORK_REPLAY_COST_MODEL,GC current framework replay cost model,session,ASIA,1963,188217.05,2944.5,98150.0,87122.55,44.3823,47.1667,55.1197,1.2993,11364.725,3892.5667,-4717.8333,11
GC,GC_CURRENT_FRAMEWORK_REPLAY_COST_MODEL,GC current framework replay cost model,session,US,2549,144344.3667,3823.5,127450.0,13070.8667,5.1278,28.5,52.6873,1.0279,21626.2667,3706.7,-5832.4583,9
GC,GC_CURRENT_FRAMEWORK_REPLAY_COST_MODEL,GC current framework replay cost model,year,2024,1887,81125.8417,2830.5,94350.0,-16054.6583,-8.508,8.5,50.0795,0.9137,24078.2083,973.1,-1491.5,9
GC,GC_CURRENT_FRAMEWORK_REPLAY_COST_MODEL,GC current framework replay cost model,year,2025,2053,158308.6167,3079.5,102650.0,52579.1167,25.6109,77.7667,55.6259,1.1542,11358.3917,2848.5,-2878.625,8
GC,GC_CURRENT_FRAMEWORK_REPLAY_COST_MODEL,GC current framework replay cost model,year,2026,572,93126.9583,858.0,28600.0,63668.9583,111.3094,236.9,59.0909,1.2745,24456.1667,3892.5667,-5832.4583,7
GC,GC_CURRENT_FRAMEWORK_REPLAY_COST_MODEL,GC current framework replay cost model,direction,LONG,4512,332561.4167,6768.0,225600.0,100193.4167,22.206,38.5,53.7456,1.132,26404.2583,3892.5667,-5832.4583,9
GC,GC_CURRENT_FRAMEWORK_REPLAY_COST_MODEL,GC current framework replay cost model,exit_reason,stop,640,-405697.5833,960.0,32000.0,-438657.5833,-685.4025,-472.4792,0.0,0.0,438657.5833,-104.7917,-5832.4583,640
GC,GC_CURRENT_FRAMEWORK_REPLAY_COST_MODEL,GC current framework replay cost model,exit_reason,stop_first_conflict,1,-283.3333,1.5,50.0,-334.8333,-334.8333,-334.8333,0.0,0.0,334.8333,-334.8333,-334.8333,1
GC,GC_CURRENT_FRAMEWORK_REPLAY_COST_MODEL,GC current framework replay cost model,exit_reason,target,1671,779252.3333,2506.5,83550.0,693195.8333,414.8389,274.9667,100.0,693195.8333,0.0,3892.5667,13.5,0
GC,GC_CURRENT_FRAMEWORK_REPLAY_COST_MODEL,GC current framework replay cost model,exit_reason,time_stop,2200,-40710.0,3300.0,110000.0,-154010.0,-70.0045,-61.5,34.2727,0.5184,155372.0,3198.5,-4671.5,14
GC,GC_CURRENT_REPO_CONTRACT_COST_PROXY,GC current repo contract-cost proxy,session,ASIA,1963,188217.05,8833.5,39260.0,140123.55,71.3823,74.1667,58.7876,1.522,7339.5833,3919.5667,-4690.8333,7
GC,GC_CURRENT_REPO_CONTRACT_COST_PROXY,GC current repo contract-cost proxy,session,US,2549,144344.3667,11470.5,50980.0,81893.8667,32.1278,55.5,55.7474,1.1877,18475.2583,3733.7,-5805.4583,9
GC,GC_CURRENT_REPO_CONTRACT_COST_PROXY,GC current repo contract-cost proxy,year,2024,1887,81125.8417,8491.5,37740.0,34894.3417,18.492,35.5,55.2729,1.2153,6015.2333,1000.1,-1464.5,8
GC,GC_CURRENT_REPO_CONTRACT_COST_PROXY,GC current repo contract-cost proxy,year,2025,2053,158308.6167,9238.5,41060.0,108010.1167,52.6109,104.7667,57.7204,1.3409,10575.3917,2875.5,-2851.625,8
GC,GC_CURRENT_REPO_CONTRACT_COST_PROXY,GC current repo contract-cost proxy,year,2026,572,93126.9583,2574.0,11440.0,79112.9583,138.3094,263.9,60.6643,1.3505,24186.1667,3919.5667,-5805.4583,7
GC,GC_CURRENT_REPO_CONTRACT_COST_PROXY,GC current repo contract-cost proxy,direction,LONG,4512,332561.4167,20304.0,90240.0,222017.4167,49.206,65.5,57.07,1.3151,24186.1667,3919.5667,-5805.4583,8
GC,GC_CURRENT_REPO_CONTRACT_COST_PROXY,GC current repo contract-cost proxy,exit_reason,stop,640,-405697.5833,2880.0,12800.0,-421377.5833,-658.4025,-445.4792,0.0,0.0,421377.5833,-77.7917,-5805.4583,640
GC,GC_CURRENT_REPO_CONTRACT_COST_PROXY,GC current repo contract-cost proxy,exit_reason,stop_first_conflict,1,-283.3333,4.5,20.0,-307.8333,-307.8333,-307.8333,0.0,0.0,307.8333,-307.8333,-307.8333,1
GC,GC_CURRENT_REPO_CONTRACT_COST_PROXY,GC current repo contract-cost proxy,exit_reason,target,1671,779252.3333,7519.5,33420.0,738312.8333,441.8389,301.9667,100.0,738312.8333,0.0,3919.5667,40.5,0
GC,GC_CURRENT_REPO_CONTRACT_COST_PROXY,GC current repo contract-cost proxy,exit_reason,time_stop,2200,-40710.0,9900.0,44000.0,-94610.0,-43.0045,-34.5,41.0909,0.6657,96491.0,3225.5,-4644.5,11
GC,GC_FEE_ONLY,GC fee-only,session,ASIA,1963,188217.05,8833.5,0.0,179383.55,91.3823,94.1667,60.8253,1.7101,7279.5833,3939.5667,-4670.8333,7
