candidate_id,session_date,calendar_dte,target_credit,modeled_entry,minute_touches,minute_touches_any_fresh_events,missed_minute_mid_crossings,missed_minute_ask_crossings,p2_rejected_supported,p3_rejected_supported,p2_approved_not_strong,p3_approved_not_strong,fast_6_5_4_3_rebound_sequences,conditional_fast_6_5_4_3_rebound_sequences,conditional_missed_minute_mid_crossings,conditional_missed_raw_minute_mid_crossings,conditional_missed_raw_minute_ask_crossings,conditional_p2_rejected_supported,conditional_p3_rejected_supported,conditional_p2_approved_not_strong,conditional_p3_approved_not_strong
1727,2024-04-01,3,7.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1758,2024-04-15,2,5.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1759,2024-04-15,2,6.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760,2024-04-15,2,7.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1761,2024-04-15,3,5.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1762,2024-04-15,3,6.0,False,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1763,2024-04-15,3,7.0,False,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1794,2024-04-30,2,5.0,False,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1795,2024-04-30,2,6.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1796,2024-04-30,2,7.0,False,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1797,2024-04-30,3,5.0,False,350,7,0,0,0,0,339,329,0,1,36,36,0,0,1,339,329
1798,2024-04-30,3,6.0,False,285,278,0,0,0,0,280,276,0,549,1923,1783,0,4,7,45,42
1799,2024-04-30,3,7.0,False,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1800,2024-05-01,2,5.0,False,491,9,0,0,0,0,460,439,0,1,12,12,0,0,1,451,431
1801,2024-05-01,2,6.0,False,402,11,0,0,0,0,391,387,0,1,2,2,0,0,0,380,376
1802,2024-05-01,2,7.0,False,375,11,0,0,0,0,368,363,0,1,0,0,0,0,0,358,353
1830,2024-05-14,2,5.0,False,786,15,0,0,0,0,781,777,0,0,13,13,0,0,0,767,763
1831,2024-05-14,2,6.0,False,738,16,0,0,0,0,719,707,0,0,6,6,0,0,0,703,691
1832,2024-05-14,2,7.0,False,676,19,0,0,0,0,660,650,0,0,0,0,0,0,0,641,631
1860,2024-05-31,3,5.0,False,83,4,0,0,0,0,78,75,0,1,1,1,2,1,1,75,72
1861,2024-05-31,3,6.0,False,1,0,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0
1862,2024-05-31,3,7.0,False,1,1,0,0,0,0,0,0,0,190,323,323,0,1,1,0,0
1863,2024-06-03,2,5.0,False,381,13,0,0,0,0,375,371,0,0,3,3,0,1,2,371,367
1864,2024-06-03,2,6.0,False,317,4,0,0,0,0,309,302,0,8,27,27,0,0,0,307,300
1865,2024-06-03,2,7.0,False,309,305,0,0,0,0,303,299,0,294,1030,867,0,3,6,4,3
1866,2024-06-03,3,5.0,False,775,10,0,0,0,0,762,752,0,3,38,38,0,0,0,753,743
1867,2024-06-03,3,6.0,False,695,9,0,0,0,0,690,686,0,4,14,14,0,0,0,681,677
