candidate_id,session_date,calendar_dte,target_credit,category,observed_fresh_seconds,expected_regular_seconds,coverage_fraction,first_target_ns,max_before_observed_target,reason
1281,2023-09-05,2,5.0,censored/insufficient coverage,65.00408778100007,70200,0.0009259841564245024,,10.0,missing entry or incomplete path
1282,2023-09-05,2,6.0,censored/insufficient coverage,60.16849332899997,70200,0.0008571010445726492,1694093423608557030,10.0,missing entry or incomplete path
1283,2023-09-05,2,7.0,censored/insufficient coverage,62.84002843799995,70200,0.0008951571002564096,,10.0,missing entry or incomplete path
1284,2023-09-05,3,5.0,censored/insufficient coverage,113.69416846300005,93600,0.0012146812869978638,1694179822052891688,10.0,missing entry or incomplete path
1285,2023-09-05,3,6.0,censored/insufficient coverage,104.42495951099995,93600,0.0011156512768269226,,10.0,missing entry or incomplete path
1286,2023-09-05,3,7.0,censored/insufficient coverage,63.03132687,93600,0.0006734116118589744,1694093457574456138,10.0,missing entry or incomplete path
1305,2023-09-18,2,5.0,censored/insufficient coverage,20713.20951829585,70200,0.29505996464808903,1695130232949191763,7.400000000000006,missing entry or incomplete path
1306,2023-09-18,2,6.0,censored/insufficient coverage,18767.686123436262,70200,0.26734595617430573,1695217140765545410,9.949999999999989,missing entry or incomplete path
1307,2023-09-18,2,7.0,censored/insufficient coverage,86.21938765,70200,0.0012281964052706553,,10.0,missing entry or incomplete path
1308,2023-09-18,3,5.0,censored/insufficient coverage,115.55807131499999,93600,0.0012345947790064103,1695216644896794317,8.100000000000001,missing entry or incomplete path
1309,2023-09-18,3,6.0,censored/insufficient coverage,105.41899568899998,93600,0.001126271321463675,1695216650021898664,7.849999999999994,missing entry or incomplete path
1310,2023-09-18,3,7.0,censored/insufficient coverage,86.84779423999979,93600,0.0009278610495726473,,10.0,missing entry or incomplete path
1338,2023-09-29,3,5.0,censored/insufficient coverage,33.788734215,46800,0.0007219815003205128,,10.0,missing entry or incomplete path
1339,2023-09-29,3,6.0,censored/insufficient coverage,36.312084785000025,46800,0.0007758992475427356,,10.0,missing entry or incomplete path
