calendar_dte,target_credit,exit_target,slippage,mode,trades,win_rate,target_hit_rate,avg_pnl,median_pnl,total_pnl,profit_factor,avg_return_on_max_risk,worst_trade,max_drawdown,longest_losing_streak,missing_next_minute
2,6.0,1.0,0.0,next_minute,643,0.5381026438569206,0.5458786936236392,1140.1970762052879,2047.0399999999659,733146.7199999995,1.3452004274242242,0.14043377427772658,-10252.959999999988,126903.6000000001,8,21
2,6.0,1.0,0.0,persist_2,643,0.49611197511664074,0.4556765163297045,1187.3199377916014,-752.9600000000455,763446.7199999997,1.3183270826515399,0.14537037408103795,-10252.959999999988,121203.60000000008,12,0
2,6.0,1.0,0.0,persist_3,643,0.48522550544323484,0.4416796267496112,1014.8471539657853,-2752.959999999932,652546.7199999996,1.2667288447136038,0.12424538869134166,-10252.959999999988,120903.60000000006,12,0
2,6.0,1.0,0.0,touch,643,0.6018662519440124,0.578538102643857,3168.035334370141,9847.040000000035,2037046.7200000065,2.063644344369844,0.3921844010885777,-10252.959999999988,119053.60000000015,8,0
2,6.0,1.0,0.05,next_minute,643,0.5287713841368584,0.5427682737169518,947.5843234836701,1547.0399999999552,609296.7200000001,1.2783006775061672,0.11532750881574504,-10352.959999999988,131903.60000000006,8,18
2,6.0,1.0,0.05,persist_2,643,0.48833592534992226,0.4510108864696734,990.8969206842925,-1652.9600000000476,637146.7199999995,1.2585115765256856,0.11990260152328946,-10352.959999999988,124903.60000000003,12,0
2,6.0,1.0,0.05,persist_3,643,0.4821150855365474,0.4385692068429238,865.1581959564544,-2952.9600000001583,556296.7199999992,1.2231268711602798,0.104489220780648,-10352.959999999988,125303.60000000003,12,0
2,6.0,1.0,0.05,touch,643,0.5925349922239502,0.5707620528771384,2905.282612752723,9747.040000000037,1868096.7200000072,1.9399817504041805,0.35542751288235636,-10352.959999999988,123453.59999999998,8,0
2,6.0,1.0,0.1,next_minute,643,0.52099533437014,0.536547433903577,764.147309486781,1247.0399999998763,491346.71999999956,1.2172455155734145,0.091608344226197,-10452.959999999986,136503.60000000003,8,18
2,6.0,1.0,0.1,persist_2,643,0.4867807153965785,0.4494556765163297,826.1224261275277,-1952.9599999999987,531196.7199999989,1.21126797041658,0.0985832370783295,-10452.959999999986,128953.6,12,0
2,6.0,1.0,0.1,persist_3,643,0.47900466562986005,0.4354587869362364,705.7491757387255,-3352.9599999998622,453796.7199999993,1.1784078544684666,0.0839778536146769,-10452.959999999986,128653.6,12,0
2,6.0,1.0,0.1,touch,643,0.5863141524105754,0.5645412130637636,2667.8020528771417,9647.040000000039,1715396.720000007,1.8362945060269962,0.32219259430696906,-10452.959999999986,128053.59999999989,8,0
2,6.0,1.0,0.15,next_minute,643,0.5163297045101088,0.5334370139968896,641.207962674959,1047.0399999998735,412296.719999999,1.1787488001234234,0.07561041501313573,-10552.959999999988,139553.6000000001,10,17
2,6.0,1.0,0.15,persist_2,643,0.48367029548989116,0.4463452566096423,663.1364230171056,-2552.9599999999505,426396.719999999,1.1664160779275403,0.07797623142039216,-10552.959999999988,138427.20000000112,12,0
2,6.0,1.0,0.15,persist_3,643,0.4774494556765163,0.4354587869362364,596.6511975116628,-3552.959999999865,383646.7199999991,1.1483641847366162,0.06996413749269827,-10552.959999999988,133253.60000000006,12,0
2,6.0,1.0,0.15,touch,643,0.583203732503888,0.5598755832037325,2513.447465007777,9547.04000000001,1616146.7200000042,1.772686896374049,0.2998808657087528,-10552.959999999988,131503.6,8,0
2,6.0,1.0,0.25,next_minute,643,0.5023328149300156,0.5241057542768274,331.0990979782257,147.04000000004547,212896.7199999994,1.088428887292433,0.03782019027483907,-10752.959999999988,157318.96000000113,11,16
2,6.0,1.0,0.25,persist_2,643,0.4821150855365474,0.4447900466562986,397.5065629860024,-2952.959999999949,255596.71999999997,1.0966527147161615,0.04523523943353678,-10752.959999999988,190127.2000000009,12,0
